001,Arg 1,1
001,Arg 2,11
009,5,2,666
022,Friv,7
010,Arg,,1-10
010,Prologue,,1
010,1,1,77
010,1,2,110
010,1,3,182
010,1,4,219
010,2,1,226
010,2,2,273
010,2,3,351
010,3,1,446
010,3,2,466
010,3,3,524
010,4,1,559
010,4,2,571
010,4,3,675
010,5,1,701
010,5,2,753
010,5,3,876
010,5,4,889
010,5,5,899
010,5,6,966
010,5,7,990
010,5,8,1050
010,5,9,1060
011,Arg 1,,1-8
011,Arg 2,,1-16
011,1,1,1
011,1,2,111
011,2,1,225
011,2,2,272
011,2,3,335
011,2,4,469
011,3,1,499
011,3,2,544
011,3,3,562
011,3,4,588
011,4,1,667
011,4,2,692
011,4,3,700
011,4,4,741
011,4,5,803
011,5,1,830
011,5,2,842
011,5,3,957
011,5,4,962
012,Arg 1,,1-14
012,Arg 2,,1-15
012,1,1,1
012,2,1,79
012,2,2,156
012,2,3,272
012,2,4,354
012,2,5,411
012,2,6,481
012,3,1,596
012,3,2,813
012,3,3,874
012,4,1,947
012,4,2,991
012,4,3,1094
012,4,4,1137
012,4,5,1200
012,4,6,1216
012,4,7,1284
012,4,8,1311
012,4,9,1378
012,5,1,1394
013,Arg,,1-11
013,1,1,1
013,1,2,84
013,1,3,157
013,1,4,313
013,2,1,348
013,2,2,431
013,3,1,532
013,3,2,690
013,4,1,858
013,4,2,885
013,4,3,904,Lindsay misnumbered as 3,3
013,4,4,933,Lindsay misnumbered as 4,2
013,4,5,993,Lindsay misnumbered as 4,3
013,5,1,1041
013,5,2,1122
014,Arg,,1-5
014,1,1,1
014,1,2,53
014,1,3,81
014,2,1,168
014,2,2,183
014,2,3,251
014,2,4,272
014,2,5,302
014,3,1,329
014,3,2,400
014,3,3,405
014,4,1,449
014,4,2,462
014,4,3,470
014,4,4,559
014,4,5,673
014,4,6,683
014,4,7,711
014,4,8,731
014,4,9,738
014,5,1,753
014,5,2,777
015,Arg,,1-8
015,Prologue,,1
015,1,1,129
015,1,2,210
015,1,3,410
015,2,1,449
015,3,1,504
015,3,2,578
015,3,3,615
015,3,4,711
015,3,5,746
015,3,6,796
015,4,1,817
015,4,2,823
015,5,1,930
015,5,2,961
015,5,3,1120
015,5,4,1174
015,5,5,1280
015,5,6,1338
015,5,7,1372
016,Arg 1,,1-9
016,Arg 2,,1-15
016,Prologue,,1
016,1,1,3
016,1,2,132
016,1,3,230
016,1,4,394
016,1,5,415
016,2,1,574
016,2,2,594
016,2,3,667
016,2,4,694
016,3,1,767
016,3,2,790
016,4,1,905
016,4,2,956
016,4,3,1017
016,4,4,1038
016,4,5,1052
016,4,6,1063
016,4,7,1103
016,5,1,1246
016,5,2,1285
017,Arg,,1-6
017,Prologue,,1
017,1,1,83
017,1,2,89
017,1,3,185
017,1,4,220
017,1,5,259
017,2,1,290
017,2,2,306
017,2,3,331
017,2,4,414
017,2,5,458
017,2,6,485
017,2,7,559
017,3,1,593
017,3,2,615
017,3,3,664
017,3,4,706
017,3,5,780
017,3,6,839
017,4,1,892
017,4,2,906
017,4,3,938
017,4,4,1045
017,4,5,1191
017,4,6,1205
017,4,7,1227
017,4,8,1265
017,5,1,1281
017,5,2,1288
017,5,3,1357
018,Arg 1,,1-6
018,Arg 2,,1-7
018,1,1,1
018,1,2,58
018,1,3,155
018,2,1,274
018,2,2,325
018,3,1,402
018,3,2,454
018,4,1,505
018,4,2,579
018,5,1,641
018,5,2,649
018,5,3,673
018,5,4,683
018,5,5,742
018,5,6,762
018,5,7,769
019,Arg,,1-9
019,Prologue,,1
019,1,1,23
019,1,2,39
019,2,1,223
019,2,2,276
019,2,3,392
019,3,1,602
019,3,2,627
019,3,3,729
019,4,1,820
019,4,2,843
019,4,3,1008
019,4,4,1093
019,5,1,1115
019,5,2,1125
020,Arg,,1-11
020,Prologue,,1
020,1,1,22
020,1,2,95
020,2,1,209
020,2,2,256
020,2,3,322
020,2,4,352
020,2,5,448
020,2,6,482
020,2,7,551
020,2,8,631
020,3,1,645
020,3,2,669
020,4,1,699
020,4,2,711
020,4,3,775
020,4,4,854
020,5,1,893
021,Frag,,108
